lang_pair,source_lang,target_lang,n_shards_in,n_shards_out,rows_total,rows_scored,rows_failed,mean_score,elapsed_sec
lug_Latn-som_Latn,lug_Latn,som_Latn,1,1,104371,104348,23,0.2990,1156.0
epo_Latn-ibo_Latn,epo_Latn,ibo_Latn,1,1,34498,34498,0,0.4572,445.1
epo_Latn-ilo_Latn,epo_Latn,ilo_Latn,1,1,43010,43007,3,0.2779,480.7
ibo_Latn-som_Latn,ibo_Latn,som_Latn,1,1,356531,356463,68,0.5498,4112.2
epo_Latn-jav_Latn,epo_Latn,jav_Latn,1,1,22660,22659,1,0.6530,217.5
lug_Latn-sot_Latn,lug_Latn,sot_Latn,1,1,113844,113811,33,0.3318,1107.1
ary_Arab-nob_Latn,ary_Arab,nob_Latn,1,1,419533,419134,399,0.7955,4574.5
epo_Latn-kan_Knda,epo_Latn,kan_Knda,1,1,86197,86192,5,0.8420,971.1
lug_Latn-tso_Latn,lug_Latn,tso_Latn,1,1,85089,85064,25,0.3857,829.6
epo_Latn-khm_Khmr,epo_Latn,khm_Khmr,1,1,41573,41571,2,0.7300,424.9
epo_Latn-kin_Latn,epo_Latn,kin_Latn,1,1,26716,26716,0,0.3684,296.8
lug_Latn-twi_Latn,lug_Latn,twi_Latn,1,1,92765,92720,45,0.3972,922.9
nob_Latn-tel_Telu,nob_Latn,tel_Telu,1,1,698319,698003,316,0.5473,7245.5
ary_Arab-nor_Latn,ary_Arab,nor_Latn,1,1,221272,220335,937,0.6963,2492.6
nob_Latn-tgk_Cyrl,nob_Latn,tgk_Cyrl,1,1,83518,83497,21,0.6218,930.0
epo_Latn-ltz_Latn,epo_Latn,ltz_Latn,1,1,119198,119196,2,0.1283,1373.4
luo_Latn-nya_Latn,luo_Latn,nya_Latn,1,1,94760,94728,32,0.3814,1094.9
nob_Latn-wln_Latn,nob_Latn,wln_Latn,1,1,38091,38083,8,0.7146,496.4
ary_Arab-npi_Deva,ary_Arab,npi_Deva,1,1,77417,77417,0,0.0548,879.6
ibo_Latn-sot_Latn,ibo_Latn,sot_Latn,1,1,398712,398630,82,0.5688,4404.5
luo_Latn-sna_Latn,luo_Latn,sna_Latn,1,1,114207,114148,59,0.4398,1319.3
epo_Latn-lzh_Hani,epo_Latn,lzh_Hani,1,1,125543,125542,1,0.4215,1464.1
luo_Latn-som_Latn,luo_Latn,som_Latn,1,1,49593,49580,13,0.2736,711.4
ary_Arab-sin_Sinh,ary_Arab,sin_Sinh,1,1,118410,118389,21,0.5021,1541.0
ibo_Latn-sqi_Latn,ibo_Latn,sqi_Latn,1,1,103034,103026,8,0.4037,1615.4
ary_Arab-som_Latn,ary_Arab,som_Latn,1,1,77191,77177,14,0.1449,1123.6
nob_Latn-yue_Hani,nob_Latn,yue_Hani,1,1,234946,234894,52,0.6353,3403.2
asm_Beng-ast_Latn,asm_Beng,ast_Latn,1,1,13260,13260,0,0.6961,488.6
ibo_Latn-sun_Latn,ibo_Latn,sun_Latn,1,1,73776,73768,8,0.5475,1493.2
nor_Latn-abk_Cyrl,nor_Latn,abk_Cyrl,1,1,28471,28470,1,0.7057,549.9
asm_Beng-bre_Latn,asm_Beng,bre_Latn,1,1,30616,30616,0,0.6821,478.1
epo_Latn-mal_Mlym,epo_Latn,mal_Mlym,1,1,181001,180997,4,0.6059,2970.0
asm_Beng-cym_Latn,asm_Beng,cym_Latn,1,1,57616,57616,0,0.7944,740.1
nor_Latn-bak_Cyrl,nor_Latn,bak_Cyrl,1,1,42213,42199,14,0.7118,740.2
ibo_Latn-tel_Telu,ibo_Latn,tel_Telu,1,1,94428,94418,10,0.6049,1189.2
nor_Latn-epo_Latn,nor_Latn,epo_Latn,1,1,35709,35689,20,0.3619,429.8
ibo_Latn-tso_Latn,ibo_Latn,tso_Latn,1,1,83368,83316,52,0.3920,911.8
nor_Latn-fur_Latn,nor_Latn,fur_Latn,1,1,64560,64501,59,0.3874,912.8
mai_Deva-mal_Mlym,mai_Deva,mal_Mlym,1,1,384973,384967,6,0.3451,4721.9
nor_Latn-hbs_Latn,nor_Latn,hbs_Latn,1,1,47784,47784,0,0.8402,665.7
ibo_Latn-twi_Latn,ibo_Latn,twi_Latn,1,1,88392,88379,13,0.3822,986.1
nor_Latn-kab_Latn,nor_Latn,kab_Latn,1,1,28514,28507,7,0.3519,318.2
mai_Deva-nep_Deva,mai_Deva,nep_Deva,1,1,157397,157343,54,0.4293,1540.9
mai_Deva-nno_Latn,mai_Deva,nno_Latn,1,1,29303,29301,2,0.7915,343.2
