model,source_lang,target_lang,n_pairs,n_datasets,mean,std,min,max,p01,p05,p10,p25,p50,p75,p90,p95,p99
microsoft/harrier-oss-v1-0.6b,hin_Deva,ory_Orya,1866,2,0.9284773468971252,0.03135787695646286,0.7489305734634399,0.9881988763809204,0.8326428681612015,0.8694498389959335,0.8859544098377228,0.9122821688652039,0.933714747428894,0.9511923044919968,0.9640369415283203,0.9694491177797318,0.9766747713088989
microsoft/harrier-oss-v1-0.6b,bos_Latn,pol_Latn,1866,2,0.9343467354774475,0.02865220233798027,0.7758970260620117,0.987686812877655,0.843874379992485,0.8802149593830109,0.8969571590423584,0.9198771417140961,0.9391481280326843,0.9540896117687225,0.9664431512355804,0.9717372506856918,0.980345544219017
microsoft/harrier-oss-v1-0.6b,hne_Deva,swe_Latn,1866,2,0.9030553102493286,0.031560514122247696,0.6908110976219177,0.9695581197738647,0.8065812587738037,0.8466295450925827,0.8631526827812195,0.8856172263622284,0.9075380563735962,0.9249465018510818,0.9394830763339996,0.9460591077804565,0.9540970504283905
microsoft/harrier-oss-v1-0.6b,eng_Latn,guj_Gujr,1866,2,0.9024040699005127,0.03307173773646355,0.6721329092979431,0.9687644243240356,0.8032299965620041,0.8410660624504089,0.8596250414848328,0.8841764330863953,0.9074765741825104,0.9268506765365601,0.9397192597389221,0.945927768945694,0.9562003195285796
microsoft/harrier-oss-v1-0.6b,slk_Latn,spa_Latn,1866,2,0.9231809973716736,0.03068111650645733,0.691588819026947,0.9807178378105164,0.8202367544174194,0.8655745834112167,0.8845404386520386,0.9089655727148056,0.9294096231460571,0.9436434507369995,0.9549122452735901,0.9609041661024094,0.9693879574537276
microsoft/harrier-oss-v1-0.6b,aeb_Arab,fra_Latn,1012,1,0.8979119062423706,0.03676287457346916,0.6711019277572632,0.9778150916099548,0.7941571706533432,0.8324282109737396,0.8485686480998993,0.87705297768116,0.9033007919788361,0.9248868972063065,0.9397435426712036,0.9482001066207886,0.9590795582532883
microsoft/harrier-oss-v1-0.6b,ben_Beng,bho_Deva,1866,2,0.9149144887924194,0.03491741046309471,0.770297646522522,0.9893825054168701,0.8125337898731232,0.8486599624156952,0.8679125308990479,0.8951513171195984,0.9198525249958038,0.9405208975076675,0.9545280933380127,0.9623388797044754,0.9741898715496063
microsoft/harrier-oss-v1-0.6b,bel_Cyrl,deu_Latn,1866,2,0.9110703468322754,0.029881015419960022,0.6951811909675598,0.9729917049407959,0.8241406053304672,0.8559767007827759,0.873135507106781,0.8950971961021423,0.915639191865921,0.9315052032470703,0.9447174370288849,0.9512841552495956,0.9627923727035522
microsoft/harrier-oss-v1-0.6b,slv_Latn,ron_Latn,1866,2,0.9184093475341797,0.031875576823949814,0.6903963088989258,0.9806131720542908,0.8231349408626556,0.8570123612880707,0.875720888376236,0.9013317078351974,0.923750638961792,0.9403206706047058,0.9538708329200745,0.9608082175254822,0.9696359366178512
microsoft/harrier-oss-v1-0.6b,oci_Latn,sin_Sinh,1012,1,0.8718909621238708,0.029941048473119736,0.7741237878799438,0.9583000540733337,0.7893925315141678,0.8182161331176758,0.8326023340225219,0.8541072607040405,0.8738242983818054,0.8922021985054016,0.9088228523731232,0.9177392899990081,0.9290194243192673
microsoft/harrier-oss-v1-0.6b,deu_Latn,hne_Deva,1866,2,0.9053451418876648,0.032476961612701416,0.667328953742981,0.9692296385765076,0.8119767963886261,0.8467494398355484,0.8633642196655273,0.8882068544626236,0.9105784296989441,0.9276653379201889,0.9417314231395721,0.9479363113641739,0.9569632232189178
microsoft/harrier-oss-v1-0.6b,ben_Beng,san_Deva,1012,1,0.8953357338905334,0.03613534942269325,0.6972236633300781,0.9703507423400879,0.7981560385227203,0.8334627568721771,0.8464770615100861,0.8735039830207825,0.9002719223499298,0.9216120541095734,0.9363767266273498,0.9439575731754303,0.958841096162796
microsoft/harrier-oss-v1-0.6b,mai_Deva,ory_Orya,1866,2,0.9247602820396423,0.03175748884677887,0.742918848991394,0.983047366142273,0.8235900580883027,0.8632355481386185,0.8833341300487518,0.908390149474144,0.9311107099056244,0.9477075636386871,0.9590377807617188,0.9648364037275314,0.9720405668020248
microsoft/harrier-oss-v1-0.6b,bel_Cyrl,fur_Latn,1012,1,0.8906556367874146,0.03156829997897148,0.7675398588180542,0.9504944086074829,0.7945019626617431,0.8284884989261627,0.8478048920631409,0.8726927042007446,0.8950411379337311,0.9143819361925125,0.9274356544017792,0.9334370911121368,0.942902227640152
microsoft/harrier-oss-v1-0.6b,asm_Beng,ast_Latn,1012,1,0.8784888386726379,0.03241102769970894,0.7398777604103088,0.9589590430259705,0.7876684921979904,0.8179912328720093,0.8349433779716492,0.8596018552780151,0.8825116753578186,0.9014885574579239,0.9177325963973999,0.9242014676332474,0.9388672417402267
