lang_pair,source_lang,target_lang,model,MRR,n_rows_total,n_shards,data_mean,data_p05,data_p10,data_p50,gold_mean,gold_std,gold_q_value,gold_quantile,data_quantile,T_gold,T_data,T_raw,T_clipped,data_sanity_cap,T_keep_cap,T,eff_cap,gold_cap_value,confidence,has_benchmark,has_gold,kept_fraction_est
ces_Latn-gug_Latn,ces_Latn,gug_Latn,microsoft/harrier-oss-v1-0.6b,0.8776237507960477,88012,1,0.8799583315849304,0.7504405051469802,0.7740590989589691,0.893069326877594,0.849413275718689,0.0441718138754367,0.7498439115285873,p01,p10,0.7498439115285873,0.7740590989589691,0.7740590989589691,0.7740590989589691,0.893069326877594,0.7912147422631581,0.7740590989589691,0.8209325224161148,0.8209325224161148,mid,True,True,0.9
ces_Latn-ita_Latn,ces_Latn,ita_Latn,jinaai/jina-embeddings-v3,0.9959267167258968,82068219,9,0.7277998328208923,0.2918816059827804,0.4088227301836014,0.7877732813358307,0.8805680274963379,0.0748332291841507,0.6043969094753265,p01,p10,0.6043969094753265,0.4088227301836014,0.6043969094753265,0.6043969094753265,0.7877732813358307,0.4783349335193634,0.4783349335193634,0.8444631546735764,0.8444631546735764,high,True,True,0.85
ces_Latn-lao_Laoo,ces_Latn,lao_Laoo,jinaai/jina-embeddings-v3,0.981297631095895,124581,1,0.511256992816925,0.1312395632266998,0.1700431853532791,0.4603057503700256,0.7837114334106445,0.1024075895547866,0.4921745747327805,p01,p10,0.4921745747327805,0.1700431853532791,0.47217457473278046,0.47217457473278046,0.4603057503700256,0.19742097457249957,0.19742097457249957,0.7276498973369598,0.7276498973369598,mid,True,True,0.85
ces_Latn-mri_Latn,ces_Latn,mri_Latn,microsoft/harrier-oss-v1-0.6b,0.94742067346912,110204,1,0.8596435785293579,0.7494911164045334,0.7767396628856659,0.8672077655792236,0.8575159311294556,0.0419441498816013,0.7481125354766845,p01,p10,0.7481125354766845,0.7767396628856659,0.7767396628856659,0.7767396628856659,0.8672077655792236,0.7929193913936615,0.7767396628856659,0.8303724825382233,0.8303724825382233,mid,True,True,0.9
ces_Latn-pbt_Arab,ces_Latn,pbt_Arab,intfloat/multilingual-e5-large,0.9791625231840392,83978,1,0.8565823435783386,0.7735381960868836,0.795067697763443,0.863079696893692,0.8525121808052063,0.0289616305381059,0.7788241267204284,p01,p10,0.7788241267204284,0.795067697763443,0.795067697763443,0.795067697763443,0.863079696893692,0.8075320571660995,0.795067697763443,0.8339896947145462,0.8339896947145462,mid,True,True,0.9
ces_Latn-snd_Arab,ces_Latn,snd_Arab,jinaai/jina-embeddings-v3,0.9811904870535872,132254,1,0.4348546266555786,0.1542539864778518,0.1918431401252746,0.38715460896492,0.7695240378379822,0.1045248359441757,0.4586443662643433,p01,p10,0.4586443662643433,0.1918431401252746,0.4386443662643433,0.4386443662643433,0.38715460896492,0.21619087159633632,0.21619087159633632,0.7094466388225555,0.7094466388225555,mid,True,True,0.85
ces_Latn-tgk_Cyrl,ces_Latn,tgk_Cyrl,microsoft/harrier-oss-v1-0.6b,0.9893097310150054,223586,1,0.8631327152252197,0.7466885894536972,0.7680738568305969,0.8734470009803772,0.8905215263366699,0.0316772498190403,0.8020847350358963,p01,p10,0.8020847350358963,0.7680738568305969,0.7820847350358963,0.7820847350358963,0.8734470009803772,0.7831600407759348,0.7820847350358963,0.8717201501131058,0.8717201501131058,mid,True,True,0.8535638758745577
ces_Latn-xav_Latn,ces_Latn,xav_Latn,,,70166,1,0.8982564210891724,0.8056320399045944,0.8342773914337158,0.9084665477275848,,,,p01,p10,,0.8342773914337158,0.7326105386018753,0.7326105386018753,0.9084665477275848,0.8473854760328928,0.7326105386018753,0.95,,no_benchmark,False,False,0.99
ckb_Arab-kmr_Latn,ckb_Arab,kmr_Latn,intfloat/multilingual-e5-large,0.9373889510330482,117662,1,0.8914660215377808,0.8418431252241134,0.8531666040420532,0.8908244669437408,0.9183934926986694,0.025871792808175,0.8476710796356202,p01,p10,0.8476710796356202,0.8531666040420532,0.8531666040420532,0.8531666040420532,0.8908244669437408,0.8592251201470693,0.8531666040420532,0.9027601778507232,0.9027601778507232,mid,True,True,0.9
cmn_Hani-jpn_Jpan,cmn_Hani,jpn_Jpan,,,71614,1,0.8886516094207764,0.7432093858718872,0.7791295766830444,0.9102047383785248,,,,p01,p10,,0.7791295766830444,0.6944817250967026,0.6944817250967026,0.9102047383785248,0.8064217895269393,0.6944817250967026,0.95,,no_benchmark,False,False,0.99
