lang_pair,source_lang,target_lang,n_rows_total,n_shards,data_mean,data_p05,data_p10,data_p50,data_quantile,T_raw,T_clipped,data_sanity_cap,T_keep_cap,T,eff_cap,kept_fraction_est
eus_Latn-jav_Latn,eus_Latn,jav_Latn,77272,1,0.5292777419090271,0.2000000029802322,0.2599999904632568,0.5299999713897705,p10,0.2599999904632568,0.2599999904632568,0.5299999713897705,,0.2599999904632568,0.95,0.9
eus_Latn-mal_Mlym,eus_Latn,mal_Mlym,466029,1,0.4240578413009643,0.023483844473958,0.0339536890387535,0.2791542410850525,p10,0.0339536890387535,0.05,0.2791542410850525,,0.05,0.95,0.8533100766466204
eus_Latn-pol_Latn,eus_Latn,pol_Latn,1879577,1,0.6761483550071716,0.0180652309209108,0.1171097606420517,0.8219987154006958,p10,0.1171097606420517,0.1171097606420517,0.8219987154006958,,0.1171097606420517,0.95,0.9
eus_Latn-swh_Latn,eus_Latn,swh_Latn,110849,1,0.7470652461051941,0.2646116614341736,0.3787654340267181,0.8304108381271362,p10,0.3787654340267181,0.3787654340267181,0.8304108381271362,,0.3787654340267181,0.95,0.9
eus_Latn-zho_Hant,eus_Latn,zho_Hant,524360,1,0.4546999633312225,0.0,0.0,0.4000000059604645,p10,0.0,0.05,0.4000000059604645,,0.05,0.95,0.8500000019868214
ewe_Latn-swa_Latn,ewe_Latn,swa_Latn,183138,1,0.2689463794231415,0.050000000745058,0.050000000745058,0.25,p10,0.050000000745058,0.050000000745058,0.25,,0.050000000745058,0.95,0.95
fao_Latn-ita_Latn,fao_Latn,ita_Latn,122595,1,0.5271632671356201,0.0012900470755994,0.0028767469339072,0.597104549407959,p10,0.0028767469339072,0.05,0.597104549407959,,0.05,0.95,0.7378267371457718
fao_Latn-zho_Hans,fao_Latn,zho_Hans,66842,1,0.206407144665718,0.0,0.0,0.0,p10,0.0,0.05,0.0,,0.05,0.95,0.4375000009313226
fas_Arab-fil_Latn,fas_Arab,fil_Latn,1422189,1,0.42087122797966,0.0,0.0299999993294477,0.3000000119209289,p10,0.0299999993294477,0.05,0.3000000119209289,,0.05,0.95,0.8571428570288175
fas_Arab-hun_Latn,fas_Arab,hun_Latn,35279791,1,0.6186250448226929,0.25,0.3300000131130218,0.6474999785423279,p10,0.3300000131130218,0.3300000131130218,0.6474999785423279,,0.3300000131130218,0.95,0.9
fas_Arab-kin_Latn,fas_Arab,kin_Latn,71600,1,0.148390918970108,0.0,0.0,0.0,p10,0.0,0.05,0.0,,0.05,0.95,0.4166666699780357
fas_Arab-mkd_Cyrl,fas_Arab,mkd_Cyrl,5041738,1,0.6870746612548828,0.324999988079071,0.4124999940395355,0.7237499952316284,p10,0.4124999940395355,0.4124999940395355,0.7237499952316284,,0.4124999940395355,0.95,0.9
