direction_key,winner_model,winner_avg_score,num_sentences,rate_per_hour,est_hours
abk_Cyrl-srp_Latn,qwen3-4b-instruct-2507,unknown,103001,28000,3.7
abk_Cyrl-swe_Latn,metricx24,unknown,135314,1200000,0.1
abk_Cyrl-tha_Thai,metricx24,unknown,72248,1200000,0.1
abk_Cyrl-tur_Latn,metricx24,unknown,167095,1200000,0.1
abk_Cyrl-ukr_Cyrl,metricx24,unknown,60547,1200000,0.1
abk_Cyrl-vie_Latn,metricx24,unknown,88782,1200000,0.1
abk_Cyrl-zho_Hans,metricx24,unknown,66621,1200000,0.1
abk_Cyrl-zho_Hant,metricx24,unknown,37965,1200000,0.0
ace_Latn-ace_Latn,qwen3-4b-instruct-2507,unknown,21633,28000,0.8
ace_Latn-ceb_Latn,m-prometheus-7b,0.785420607,118211,27000,4.4
ace_Latn-eng_Latn,metricx24,0.778317,2133701,1200000,1.8
ace_Latn-jav_Latn,m-prometheus-7b,0.825619711,108321,27000,4.0
ace_Latn-por_Latn,qwen3-4b-instruct-2507,0.841573,70908,28000,2.5
ace_Latn-rus_Cyrl,shaomutan_remedy-9b-22,0.879373839,63197,200000,0.3
ace_Latn-war_Latn,qwen3-4b-instruct-2507,0.774599,101125,28000,3.6
acm_Arab-bul_Cyrl,qwen3-4b-instruct-2507,0.952583,115374,28000,4.1
acm_Arab-ces_Latn,qwen3-4b-instruct-2507,0.946605,130398,28000,4.7
acm_Arab-dan_Latn,qwen3-4b-instruct-2507,0.932195,103600,28000,3.7
acm_Arab-deu_Latn,qwen3-4b-instruct-2507,0.942842,135894,28000,4.9
acm_Arab-ell_Grek,qwen3-4b-instruct-2507,0.939094,142979,28000,5.1
acm_Arab-eng_Latn,qwen3-4b-instruct-2507,0.965844,264891,28000,9.5
acm_Arab-fas_Arab,metricx24,unknown,121267,1200000,0.1
acm_Arab-fin_Latn,shaomutan_remedy-9b-22,0.919945821,127222,200000,0.6
acm_Arab-fra_Latn,qwen3-4b-instruct-2507,0.946023,171994,28000,6.1
acm_Arab-heb_Hebr,qwen3-4b-instruct-2507,0.936939,125353,28000,4.5
acm_Arab-hrv_Latn,qwen3-4b-instruct-2507,0.934136,97784,28000,3.5
acm_Arab-hun_Latn,qwen3-4b-instruct-2507,0.937536,134447,28000,4.8
acm_Arab-ind_Latn,shaomutan_remedy-9b-22,0.925302817,130829,200000,0.7
acm_Arab-ita_Latn,qwen3-4b-instruct-2507,0.954395,143414,28000,5.1
